text
"<s>Human: 请扮演数据管理专家,理解业务需求。请问物资专业的业务术语描述是什么？</s><s>Assistant: 物资专业的业务术语描述是：负责物资采购、物资供应、物资质量监控等业务管理，对企业生产经营活动所需物料在采购、验收、保管、配送、综合利用等环节进行计划、组织和控制。。</s>"
"<s>Human: 请扮演数据管理专家,理解业务需求。请问采购计划管理的业务术语描述是什么？</s><s>Assistant: 采购计划管理的业务术语描述是：是指对批次计划编制、采购计划申报、年度需求计划提报等业务进行管理。对物资部门编制采购批次、物资（服务）需求部门根据批次计划要求提报采购计划、物资部门汇总及审核采购计划的全过程进行管理。。</s>"
"<s>Human: 请扮演数据管理专家,理解业务需求。请问采购标准管理的业务术语描述是什么？</s><s>Assistant: 采购标准管理的业务术语描述是：是指对物资主数据、物料分类、物料特征、物资采购标准、采购标准模板等采购标准信息制定、审核、发布以及采购计划提报阶段编制及审核物资技术规范说明文档等业务进行管理。。</s>"
"<s>Human: 请扮演数据管理专家,理解业务需求。请问采购管理的业务术语描述是什么？</s><s>Assistant: 采购管理的业务术语描述是：是指对依据审核通过的物资（服务）采购计划进行招标、非招标采购寻源的业务进行管理。包括招标采购业务采购项目准备、发标、投标、开标、评标、定标，非招标采购业务发布采购文件、应答、开标、评审、成交的全业务过程管理。。</s>"
"<s>Human: 请扮演数据管理专家,理解业务需求。请问合同管理的业务术语描述是什么？</s><s>Assistant: 合同管理的业务术语描述是：是指对物资部门依据招标采购、非招标采购结果，和供应商签订采购合同、会同供应商合同履约、并最终进行合同结算的业务进行管理，包括超市化采购、合同签订、合同履约、合同变更及解除、调配等业务过程管理。。</s>"
"<s>Human: 请扮演数据管理专家,理解业务需求。请问仓储管理的业务术语描述是什么？</s><s>Assistant: 仓储管理的业务术语描述是：是指对仓库收货、仓库发货、库存转储、库存盘点、货架管理（WM）等业务进行管理。。</s>"
"<s>Human: 请扮演数据管理专家,理解业务需求。请问废旧物资处置的业务术语描述是什么？</s><s>Assistant: 废旧物资处置的业务术语描述是：是指对在库报废物资、退役设备、报废资产等废旧物资进行处置的业务进行管理。包括废旧物资入库、废旧物资计划、废旧物资竞价、销售合同签订、废旧物资资金支付全过程管理。。</s>"
"<s>Human: 请扮演数据管理专家,理解业务需求。请问供应商关系管理的业务术语描述是什么？</s><s>Assistant: 供应商关系管理的业务术语描述是：是指对开展供应商资质审查、绩效打分、不良行为处罚等业务进行管理，为采购寻源业务提供支撑，包括供应商资质业绩核实、绩效评价、不良行为处罚、供应商服务等业务过程的管理。。</s>"
"<s>Human: 请扮演数据管理专家,理解业务需求。请问质量监督管理的业务术语描述是什么？</s><s>Assistant: 质量监督管理的业务术语描述是：是指对通过监造、抽检、巡检等方式开展采购物资质量监控的业务进行管理。包括省公司监造、总部及省公司专项抽检、国网集中巡检等业务过程管理。。</s>"
"<s>Human: 请扮演数据管理专家,理解业务需求。请问专家管理的业务术语描述是什么？</s><s>Assistant: 专家管理的业务术语描述是：是指对评标专家、供应商资质审核专家、回收商资质审核专家、法律保障、纪检监察专家等专家进行管理，包括专家抽取、专家维护、专家评价、专家入库、专家出库等业务过程管理。。</s>"
